"registro_id";"data";"empresa";"cnpj_empresa";"empreendimento";"uf_empreendimento";"categoria_documento";"fornecedor";"razao_social_fornecedor";"cnpj_fornecedor";"numero_orcamento";"item_documento";"codigo_fornecedor";"descricao";"unidade_documento";"quantidade";"preco_unitario_cotado";"valor_total_linha";"desconto_pct_documento";"diferenca_total_menos_qtd_unitario";"natureza_preco";"unidade_pendente";"tipo_documento";"pagina";"arquivo_id";"arquivo_nome";"fonte_url";"arquivo_codigo"
"1wVQnMpniyzk44CnPbthmhWzCe_ZOff9r:1";"2026-01-15";"Demercado";"08.601.964/0001-05";"MEGA CENTRO LOGÍSTICO CURITIBA";"PR";"Material de escritório e consumo";"FABESUL";"FABESUL";"89.054.050/0006-70";"7503081";"1";"30676";"Bobina Térmica 1 Via 80X80M Br Regispel R23 T12 48G R.31123";"UN";"48";"13,99";"671,52";"";"0";"unitario_cotado";"false";"orcamento";"1";"1wVQnMpniyzk44CnPbthmhWzCe_ZOff9r";"ORÇ FABESUL R$671,52 (BOBINAS TOTENS).pdf";"https://drive.google.com/file/d/1wVQnMpniyzk44CnPbthmhWzCe_ZOff9r/view";"app/DadosFabesul.gs"
"12mXnIavWt7kbGxUEYg9OZs3xncOPd7cT:1";"2026-04-16";"Demercado";"08.601.964/0001-05";"MEGA CENTRO LOGÍSTICO CURITIBA";"PR";"Material de escritório e consumo";"FABESUL";"FABESUL";"89.054.050/0006-70";"7574138";"1";"30676";"Bobina Térmica 1 Via 80X80M Br Regispel R23 T12 48G R.31123";"UN";"48";"12,99";"623,52";"";"0";"unitario_cotado";"false";"orcamento";"1";"12mXnIavWt7kbGxUEYg9OZs3xncOPd7cT";"1459.pdf";"https://drive.google.com/file/d/12mXnIavWt7kbGxUEYg9OZs3xncOPd7cT/view";"app/DadosFabesul.gs"
"1CXBO4ng4RBtY-5mvW5W2dzfeMXdJz2yG:1";"2026-04-23";"Demercado";"08.601.964/0001-05";"MEGA CENTRO LOGÍSTICO CURITIBA";"PR";"Material de construção";"S. VARGAS MATERIAIS DE CONSTRU";"S. VARGAS MATERIAIS DE CONSTRU";"82.527.565/0001-96";"32467";"1";"1575000013";"CORRENTE ACO 13MM GRAU 8 VONDER VONDER";"m";"5";"175,5";"877,5";"";"0";"unitario_cotado";"false";"orcamento";"1";"1CXBO4ng4RBtY-5mvW5W2dzfeMXdJz2yG";"demercado (4).pdf";"https://drive.google.com/file/d/1CXBO4ng4RBtY-5mvW5W2dzfeMXdJz2yG/view";"app/DadosSVargas.gs"
"1CXBO4ng4RBtY-5mvW5W2dzfeMXdJz2yG:2";"2026-04-23";"Demercado";"08.601.964/0001-05";"MEGA CENTRO LOGÍSTICO CURITIBA";"PR";"Material de construção";"S. VARGAS MATERIAIS DE CONSTRU";"S. VARGAS MATERIAIS DE CONSTRU";"82.527.565/0001-96";"32467";"2";"78510750";"EMENDA MANGUEIRA JARDIM - TRAMOTINA TRAMONTINA";"pç";"4";"6,5";"26";"";"0";"unitario_cotado";"false";"orcamento";"1";"1CXBO4ng4RBtY-5mvW5W2dzfeMXdJz2yG";"demercado (4).pdf";"https://drive.google.com/file/d/1CXBO4ng4RBtY-5mvW5W2dzfeMXdJz2yG/view";"app/DadosSVargas.gs"
"1CXBO4ng4RBtY-5mvW5W2dzfeMXdJz2yG:3";"2026-04-23";"Demercado";"08.601.964/0001-05";"MEGA CENTRO LOGÍSTICO CURITIBA";"PR";"Material de construção";"S. VARGAS MATERIAIS DE CONSTRU";"S. VARGAS MATERIAIS DE CONSTRU";"82.527.565/0001-96";"32467";"3";"1490";"FITA ZEBRADA 200M X 70MM Diversos";"pç";"3";"21";"63";"";"0";"unitario_cotado";"false";"orcamento";"1";"1CXBO4ng4RBtY-5mvW5W2dzfeMXdJz2yG";"demercado (4).pdf";"https://drive.google.com/file/d/1CXBO4ng4RBtY-5mvW5W2dzfeMXdJz2yG/view";"app/DadosSVargas.gs"
"13dChJSNUck2U4PYIxRtsbI7kHKgZ3wzt:1";"2026-04-29";"Demercado";"08.601.964/0001-05";"MEGA CENTRO LOGÍSTICO CURITIBA";"PR";"Material de construção";"S. VARGAS MATERIAIS DE CONSTRU";"S. VARGAS MATERIAIS DE CONSTRU";"82.527.565/0001-96";"32531";"1";"0701";"ANTIMOFO ADITIVO KRYLL - 100 ml KRYLL";"un";"5";"15,8";"79";"";"0";"unitario_cotado";"false";"orcamento";"1";"13dChJSNUck2U4PYIxRtsbI7kHKgZ3wzt";"demer.pdf";"https://drive.google.com/file/d/13dChJSNUck2U4PYIxRtsbI7kHKgZ3wzt/view";"app/DadosSVargas.gs"
"13dChJSNUck2U4PYIxRtsbI7kHKgZ3wzt:2";"2026-04-29";"Demercado";"08.601.964/0001-05";"MEGA CENTRO LOGÍSTICO CURITIBA";"PR";"Material de construção";"S. VARGAS MATERIAIS DE CONSTRU";"S. VARGAS MATERIAIS DE CONSTRU";"82.527.565/0001-96";"32531";"2";"S1201FG 2 2";"DOBRADICA PORTA 2 - 3 PCS ROCHA";"car";"2";"11";"22";"";"0";"unitario_cotado";"false";"orcamento";"1";"13dChJSNUck2U4PYIxRtsbI7kHKgZ3wzt";"demer.pdf";"https://drive.google.com/file/d/13dChJSNUck2U4PYIxRtsbI7kHKgZ3wzt/view";"app/DadosSVargas.gs"
"13dChJSNUck2U4PYIxRtsbI7kHKgZ3wzt:3";"2026-04-29";"Demercado";"08.601.964/0001-05";"MEGA CENTRO LOGÍSTICO CURITIBA";"PR";"Material de construção";"S. VARGAS MATERIAIS DE CONSTRU";"S. VARGAS MATERIAIS DE CONSTRU";"82.527.565/0001-96";"32531";"3";"78506750";"ENGATE RAPIDO - TRAMONTINA TRAMONTINA";"cj";"6";"4,9";"29,4";"";"0";"unitario_cotado";"false";"orcamento";"1";"13dChJSNUck2U4PYIxRtsbI7kHKgZ3wzt";"demer.pdf";"https://drive.google.com/file/d/13dChJSNUck2U4PYIxRtsbI7kHKgZ3wzt/view";"app/DadosSVargas.gs"
"13dChJSNUck2U4PYIxRtsbI7kHKgZ3wzt:4";"2026-04-29";"Demercado";"08.601.964/0001-05";"MEGA CENTRO LOGÍSTICO CURITIBA";"PR";"Material de construção";"S. VARGAS MATERIAIS DE CONSTRU";"S. VARGAS MATERIAIS DE CONSTRU";"82.527.565/0001-96";"32531";"4";"163A";"FORCADO 4 DENTES PANDOLFO C/CABO - CURVO PANDOLFO";"un";"1";"69,5";"69,5";"";"0";"unitario_cotado";"false";"orcamento";"1";"13dChJSNUck2U4PYIxRtsbI7kHKgZ3wzt";"demer.pdf";"https://drive.google.com/file/d/13dChJSNUck2U4PYIxRtsbI7kHKgZ3wzt/view";"app/DadosSVargas.gs"
"13dChJSNUck2U4PYIxRtsbI7kHKgZ3wzt:5";"2026-04-29";"Demercado";"08.601.964/0001-05";"MEGA CENTRO LOGÍSTICO CURITIBA";"PR";"Material de construção";"S. VARGAS MATERIAIS DE CONSTRU";"S. VARGAS MATERIAIS DE CONSTRU";"82.527.565/0001-96";"32531";"5";"UN";"GLIFOSATO 1L GLIFOSATO";"pç";"4";"28,5";"114";"";"0";"unitario_cotado";"false";"orcamento";"1";"13dChJSNUck2U4PYIxRtsbI7kHKgZ3wzt";"demer.pdf";"https://drive.google.com/file/d/13dChJSNUck2U4PYIxRtsbI7kHKgZ3wzt/view";"app/DadosSVargas.gs"
"13dChJSNUck2U4PYIxRtsbI7kHKgZ3wzt:6";"2026-04-29";"Demercado";"08.601.964/0001-05";"MEGA CENTRO LOGÍSTICO CURITIBA";"PR";"Material de construção";"S. VARGAS MATERIAIS DE CONSTRU";"S. VARGAS MATERIAIS DE CONSTRU";"82.527.565/0001-96";"32531";"6";"0425";"JOELHO 25MM 90G KRONA";"pç";"2";"0,9";"1,8";"";"0";"unitario_cotado";"false";"orcamento";"1";"13dChJSNUck2U4PYIxRtsbI7kHKgZ3wzt";"demer.pdf";"https://drive.google.com/file/d/13dChJSNUck2U4PYIxRtsbI7kHKgZ3wzt/view";"app/DadosSVargas.gs"
"13dChJSNUck2U4PYIxRtsbI7kHKgZ3wzt:7";"2026-04-29";"Demercado";"08.601.964/0001-05";"MEGA CENTRO LOGÍSTICO CURITIBA";"PR";"Material de construção";"S. VARGAS MATERIAIS DE CONSTRU";"S. VARGAS MATERIAIS DE CONSTRU";"82.527.565/0001-96";"32531";"7";"0426";"JOELHO 32MM 90G KRONA";"pç";"1";"2,78";"2,78";"";"0";"unitario_cotado";"false";"orcamento";"1";"13dChJSNUck2U4PYIxRtsbI7kHKgZ3wzt";"demer.pdf";"https://drive.google.com/file/d/13dChJSNUck2U4PYIxRtsbI7kHKgZ3wzt/view";"app/DadosSVargas.gs"
"13dChJSNUck2U4PYIxRtsbI7kHKgZ3wzt:8";"2026-04-29";"Demercado";"08.601.964/0001-05";"MEGA CENTRO LOGÍSTICO CURITIBA";"PR";"Material de construção";"S. VARGAS MATERIAIS DE CONSTRU";"S. VARGAS MATERIAIS DE CONSTRU";"82.527.565/0001-96";"32531";"8";"260191375";"LAMPADA LED 30W ALTA POTENCIA - BLUMENAU E27 BLUMENAU";"pc";"20";"25,5";"510";"";"0";"unitario_cotado";"false";"orcamento";"1";"13dChJSNUck2U4PYIxRtsbI7kHKgZ3wzt";"demer.pdf";"https://drive.google.com/file/d/13dChJSNUck2U4PYIxRtsbI7kHKgZ3wzt/view";"app/DadosSVargas.gs"
"13dChJSNUck2U4PYIxRtsbI7kHKgZ3wzt:9";"2026-04-29";"Demercado";"08.601.964/0001-05";"MEGA CENTRO LOGÍSTICO CURITIBA";"PR";"Material de construção";"S. VARGAS MATERIAIS DE CONSTRU";"S. VARGAS MATERIAIS DE CONSTRU";"82.527.565/0001-96";"32531";"9";"0436";"LUVA 25MM KRONA";"pç";"2";"0,88";"1,76";"";"0";"unitario_cotado";"false";"orcamento";"1";"13dChJSNUck2U4PYIxRtsbI7kHKgZ3wzt";"demer.pdf";"https://drive.google.com/file/d/13dChJSNUck2U4PYIxRtsbI7kHKgZ3wzt/view";"app/DadosSVargas.gs"
"13dChJSNUck2U4PYIxRtsbI7kHKgZ3wzt:10";"2026-04-29";"Demercado";"08.601.964/0001-05";"MEGA CENTRO LOGÍSTICO CURITIBA";"PR";"Material de construção";"S. VARGAS MATERIAIS DE CONSTRU";"S. VARGAS MATERIAIS DE CONSTRU";"82.527.565/0001-96";"32531";"10";"0437";"LUVA 32MM KRONA";"pç";"2";"2,7";"5,4";"";"0";"unitario_cotado";"false";"orcamento";"1";"13dChJSNUck2U4PYIxRtsbI7kHKgZ3wzt";"demer.pdf";"https://drive.google.com/file/d/13dChJSNUck2U4PYIxRtsbI7kHKgZ3wzt/view";"app/DadosSVargas.gs"
"13dChJSNUck2U4PYIxRtsbI7kHKgZ3wzt:11";"2026-04-29";"Demercado";"08.601.964/0001-05";"MEGA CENTRO LOGÍSTICO CURITIBA";"PR";"Material de construção";"S. VARGAS MATERIAIS DE CONSTRU";"S. VARGAS MATERIAIS DE CONSTRU";"82.527.565/0001-96";"32531";"11";"15007";"PA CORTE BICO - C/CABO - BONAFER BONAFER";"un";"1";"39,5";"39,5";"";"0";"unitario_cotado";"false";"orcamento";"1";"13dChJSNUck2U4PYIxRtsbI7kHKgZ3wzt";"demer.pdf";"https://drive.google.com/file/d/13dChJSNUck2U4PYIxRtsbI7kHKgZ3wzt/view";"app/DadosSVargas.gs"
"13dChJSNUck2U4PYIxRtsbI7kHKgZ3wzt:12";"2026-04-29";"Demercado";"08.601.964/0001-05";"MEGA CENTRO LOGÍSTICO CURITIBA";"PR";"Material de construção";"S. VARGAS MATERIAIS DE CONSTRU";"S. VARGAS MATERIAIS DE CONSTRU";"82.527.565/0001-96";"32531";"12";"161A";"PICARETA LARGA - C/CABO BONAFER BONAFER";"un";"1";"98,5";"98,5";"";"0";"unitario_cotado";"false";"orcamento";"1";"13dChJSNUck2U4PYIxRtsbI7kHKgZ3wzt";"demer.pdf";"https://drive.google.com/file/d/13dChJSNUck2U4PYIxRtsbI7kHKgZ3wzt/view";"app/DadosSVargas.gs"
"13dChJSNUck2U4PYIxRtsbI7kHKgZ3wzt:13";"2026-04-29";"Demercado";"08.601.964/0001-05";"MEGA CENTRO LOGÍSTICO CURITIBA";"PR";"Material de construção";"S. VARGAS MATERIAIS DE CONSTRU";"S. VARGAS MATERIAIS DE CONSTRU";"82.527.565/0001-96";"32531";"13";"0455";"TEE 25MM SOLDAVEL KRONA";"pç";"2";"1,45";"2,9";"";"0";"unitario_cotado";"false";"orcamento";"1";"13dChJSNUck2U4PYIxRtsbI7kHKgZ3wzt";"demer.pdf";"https://drive.google.com/file/d/13dChJSNUck2U4PYIxRtsbI7kHKgZ3wzt/view";"app/DadosSVargas.gs"
"13dChJSNUck2U4PYIxRtsbI7kHKgZ3wzt:14";"2026-04-29";"Demercado";"08.601.964/0001-05";"MEGA CENTRO LOGÍSTICO CURITIBA";"PR";"Material de construção";"S. VARGAS MATERIAIS DE CONSTRU";"S. VARGAS MATERIAIS DE CONSTRU";"82.527.565/0001-96";"32531";"14";"0456";"TEE 32MM SOLDAVEL KRONA";"pç";"2";"5,6";"11,2";"";"0";"unitario_cotado";"false";"orcamento";"1";"13dChJSNUck2U4PYIxRtsbI7kHKgZ3wzt";"demer.pdf";"https://drive.google.com/file/d/13dChJSNUck2U4PYIxRtsbI7kHKgZ3wzt/view";"app/DadosSVargas.gs"
"13TlCoVY2uvsqrH0xyQG-G131GPetPfrs:1";"2026-05-19";"Demercado";"08.601.964/0001-05";"MEGA CENTRO LOGÍSTICO CURITIBA";"PR";"Material de construção";"S. VARGAS MATERIAIS DE CONSTRU";"S. VARGAS MATERIAIS DE CONSTRU";"82.527.565/0001-96";"32760";"1";"000000000006054190";"CIMENTO 50KG - VOTORAN - TODAS AS OBRAS * FATURADO - A PRAZO * VOTORAN";"s5";"2";"42,9";"85,8";"0";"0";"unitario_cotado";"false";"orcamento";"1";"13TlCoVY2uvsqrH0xyQG-G131GPetPfrs";"demercado (7).pdf";"https://drive.google.com/file/d/13TlCoVY2uvsqrH0xyQG-G131GPetPfrs/view";"app/DadosSVargas.gs"
